October 2022 Contiguous U.S. County Average Temperature,a,a,a,a,a,a,a,a
MT-043,"Jefferson County, MT",46,122,4.9,41.1,Jefferson County,MT,", "
MT-045,"Judith Basin County, MT",46.5,114,3.8,42.7,Judith Basin County,MT,", "
MT-047,"Lake County, MT",48.7,127,5.8,42.9,Lake County,MT,", "
MT-049,"Lewis and Clark County, MT",46.1,120,4.6,41.5,Lewis and Clark County,MT,", "
MT-051,"Liberty County, MT",48.1,124,4.9,43.2,Liberty County,MT,", "
MT-053,"Lincoln County, MT",48,128,6.9,41.1,Lincoln County,MT,", "
MT-055,"McCone County, MT",47.7,107,2.9,44.8,McCone County,MT,", "
MT-057,"Madison County, MT",43.9,111,3.7,40.2,Madison County,MT,", "
MT-059,"Meagher County, MT",44.7,120,4.4,40.3,Meagher County,MT,", "
MT-061,"Mineral County, MT",47.3,126,5.3,42,Mineral County,MT,", "
MT-063,"Missoula County, MT",46.4,125,5.2,41.2,Missoula County,MT,", "
MT-065,"Musselshell County, MT",49.7,111,3.3,46.4,Musselshell County,MT,", "
MT-067,"Park County, MT",43.6,117,4.1,39.5,Park County,MT,", "
MT-069,"Petroleum County, MT",50.8,116,3.9,46.9,Petroleum County,MT,", "
MT-071,"Phillips County, MT",48.9,117,3.9,45,Phillips County,MT,", "
MT-073,"Pondera County, MT",48.4,124,5.6,42.8,Pondera County,MT,", "
MT-075,"Powder River County, MT",48.5,100,2.4,46.1,Powder River County,MT,", "
MT-077,"Powell County, MT",45.1,125,5.4,39.7,Powell County,MT,", "
MT-079,"Prairie County, MT",48.1,103,2.6,45.5,Prairie County,MT,", "
MT-081,"Ravalli County, MT",45.1,124,4.9,40.2,Ravalli County,MT,", "
MT-083,"Richland County, MT",47.3,106,2.7,44.6,Richland County,MT,", "
MT-085,"Roosevelt County, MT",46.8,106,3,43.8,Roosevelt County,MT,", "
MT-087,"Rosebud County, MT",49.1,110,3.1,46,Rosebud County,MT,", "
MT-089,"Sanders County, MT",48.1,126,5.2,42.9,Sanders County,MT,", "
MT-091,"Sheridan County, MT",45.8,108,3.1,42.7,Sheridan County,MT,", "
MT-093,"Silver Bow County, MT",44.9,123,5.1,39.8,Silver Bow County,MT,", "
MT-095,"Stillwater County, MT",47.4,105,3.1,44.3,Stillwater County,MT,", "
MT-097,"Sweet Grass County, MT",47.3,114,4,43.3,Sweet Grass County,MT,", "
MT-099,"Teton County, MT",47.2,121,4.5,42.7,Teton County,MT,", "
MT-101,"Toole County, MT",48.7,124,5.4,43.3,Toole County,MT,", "
MT-103,"Treasure County, MT",49.3,105,2.8,46.5,Treasure County,MT,", "
MT-105,"Valley County, MT",47.4,116,3.8,43.6,Valley County,MT,", "
MT-107,"Wheatland County, MT",47.4,112,3.8,43.6,Wheatland County,MT,", "
MT-109,"Wibaux County, MT",47,95,1.9,45.1,Wibaux County,MT,", "
MT-111,"Yellowstone County, MT",50,110,3.1,46.9,Yellowstone County,MT,", "
NE-001,"Adams County, NE",54.1,83,1.4,52.7,Adams County,NE,", "
NE-003,"Antelope County, NE",52,85,1.2,50.8,Antelope County,NE,", "
NE-005,"Arthur County, NE",51.9,109,2.7,49.2,Arthur County,NE,", "
NE-007,"Banner County, NE",49.3,90,1.6,47.7,Banner County,NE,", "
NE-009,"Blaine County, NE",52.7,101,2.2,50.5,Blaine County,NE,", "
NE-011,"Boone County, NE",52.4,84,1.4,51,Boone County,NE,", "
NE-013,"Box Butte County, NE",48.9,86,1.4,47.5,Box Butte County,NE,", "
NE-015,"Boyd County, NE",52.3,85,1.2,51.1,Boyd County,NE,", "
NE-017,"Brown County, NE",51.9,91,1.6,50.3,Brown County,NE,", "
NE-019,"Buffalo County, NE",53.6,94,1.8,51.8,Buffalo County,NE,", "
NE-021,"Burt County, NE",51.9,61,0,51.9,Burt County,NE,", "
NE-023,"Butler County, NE",52.8,67,0.2,52.6,Butler County,NE,", "
NE-025,"Cass County, NE",54.2,69,0.3,53.9,Cass County,NE,", "
NE-027,"Cedar County, NE",51.2,74,0.4,50.8,Cedar County,NE,", "
NE-029,"Chase County, NE",54.6,112,3.3,51.3,Chase County,NE,", "
NE-031,"Cherry County, NE",50.5,93,1.7,48.8,Cherry County,NE,", "
NE-033,"Cheyenne County, NE",49.7,73,0.7,49,Cheyenne County,NE,", "
NE-035,"Clay County, NE",54.1,83,1.1,53,Clay County,NE,", "
NE-037,"Colfax County, NE",52.2,66,0.1,52.1,Colfax County,NE,", "
NE-039,"Cuming County, NE",51.3,59,-0.3,51.6,Cuming County,NE,", "
NE-041,"Custer County, NE",52.6,99,2.1,50.5,Custer County,NE,", "
NE-043,"Dakota County, NE",51.2,62,0,51.2,Dakota County,NE,", "
NE-045,"Dawes County, NE",50.1,93,1.9,48.2,Dawes County,NE,", "
NE-047,"Dawson County, NE",53.2,89,1.4,51.8,Dawson County,NE,", "
NE-049,"Deuel County, NE",52.2,97,2,50.2,Deuel County,NE,", "
NE-051,"Dixon County, NE",50.8,58,-0.2,51,Dixon County,NE,", "
NE-053,"Dodge County, NE",52.4,66,0,52.4,Dodge County,NE,", "
NE-055,"Douglas County, NE",53.7,67,0.4,53.3,Douglas County,NE,", "
NE-057,"Dundy County, NE",55.1,110,3,52.1,Dundy County,NE,", "
NE-059,"Fillmore County, NE",54,75,0.5,53.5,Fillmore County,NE,", "
NE-061,"Franklin County, NE",54.5,81,0.9,53.6,Franklin County,NE,", "
NE-063,"Frontier County, NE",54,99,2,52,Frontier County,NE,", "
NE-065,"Furnas County, NE",55.2,102,2,53.2,Furnas County,NE,", "
NE-067,"Gage County, NE",54.5,70,0.3,54.2,Gage County,NE,", "
NE-069,"Garden County, NE",50.4,95,1.6,48.8,Garden County,NE,", "
NE-071,"Garfield County, NE",51.3,82,1,50.3,Garfield County,NE,", "
NE-073,"Gosper County, NE",53.9,90,1.4,52.5,Gosper County,NE,", "
NE-075,"Grant County, NE",50.4,105,2.2,48.2,Grant County,NE,", "
NE-077,"Greeley County, NE",52,79,1,51,Greeley County,NE,", "
NE-079,"Hall County, NE",54,90,1.7,52.3,Hall County,NE,", "
NE-081,"Hamilton County, NE",54.5,91,1.8,52.7,Hamilton County,NE,", "
NE-083,"Harlan County, NE",54.8,81,1.1,53.7,Harlan County,NE,", "
NE-085,"Hayes County, NE",54.5,108,2.7,51.8,Hayes County,NE,", "
NE-087,"Hitchcock County, NE",55.2,106,2.4,52.8,Hitchcock County,NE,", "
NE-089,"Holt County, NE",51.7,84,1.2,50.5,Holt County,NE,", "
NE-091,"Hooker County, NE",51.6,104,2.3,49.3,Hooker County,NE,", "
NE-093,"Howard County, NE",53.3,85,1.4,51.9,Howard County,NE,", "
NE-095,"Jefferson County, NE",54.4,68,0.3,54.1,Jefferson County,NE,", "
NE-097,"Johnson County, NE",54.2,63,-0.1,54.3,Johnson County,NE,", "
NE-099,"Kearney County, NE",53.7,84,1.2,52.5,Kearney County,NE,", "
NE-101,"Keith County, NE",53.6,110,2.9,50.7,Keith County,NE,", "
NE-103,"Keya Paha County, NE",52.1,90,1.8,50.3,Keya Paha County,NE,", "
NE-105,"Kimball County, NE",48.4,81,1.1,47.3,Kimball County,NE,", "
NE-107,"Knox County, NE",52.1,86,1.1,51,Knox County,NE,", "
NE-109,"Lancaster County, NE",54.3,70,0.5,53.8,Lancaster County,NE,", "
NE-111,"Lincoln County, NE",53.3,102,2.3,51,Lincoln County,NE,", "
NE-113,"Logan County, NE",52.5,101,2.3,50.2,Logan County,NE,", "
NE-115,"Loup County, NE",51.8,91,1.6,50.2,Loup County,NE,", "
NE-117,"McPherson County, NE",52.2,106,2.4,49.8,McPherson County,NE,", "
NE-119,"Madison County, NE",52.2,81,1,51.2,Madison County,NE,", "
NE-121,"Merrick County, NE",54.4,97,2,52.4,Merrick County,NE,", "
NE-123,"Morrill County, NE",49.8,87,1.3,48.5,Morrill County,NE,", "
NE-125,"Nance County, NE",53.6,90,1.7,51.9,Nance County,NE,", "
NE-127,"Nemaha County, NE",54.2,52,-0.7,54.9,Nemaha County,NE,", "
NE-129,"Nuckolls County, NE",54.6,78,1,53.6,Nuckolls County,NE,", "
NE-131,"Otoe County, NE",54.4,68,0.1,54.3,Otoe County,NE,", "
NE-133,"Pawnee County, NE",54.2,57,-0.5,54.7,Pawnee County,NE,", "
NE-135,"Perkins County, NE",53.8,110,3,50.8,Perkins County,NE,", "
NE-137,"Phelps County, NE",53.9,88,1.4,52.5,Phelps County,NE,", "
NE-139,"Pierce County, NE",51.7,80,1,50.7,Pierce County,NE,", "
NE-141,"Platte County, NE",52.8,81,1,51.8,Platte County,NE,", "
NE-143,"Polk County, NE",54.6,93,1.9,52.7,Polk County,NE,", "
NE-145,"Red Willow County, NE",55.4,108,2.5,52.9,Red Willow County,NE,", "
NE-147,"Richardson County, NE",54.7,56,-0.6,55.3,Richardson County,NE,", "
NE-149,"Rock County, NE",51.6,89,1.5,50.1,Rock County,NE,", "
NE-151,"Saline County, NE",54.3,73,0.6,53.7,Saline County,NE,", "
NE-153,"Sarpy County, NE",54,68,0.3,53.7,Sarpy County,NE,", "
NE-155,"Saunders County, NE",53.4,66,0.3,53.1,Saunders County,NE,", "
NE-157,"Scotts Bluff County, NE",50.1,93,1.7,48.4,Scotts Bluff County,NE,", "
NE-159,"Seward County, NE",53.9,78,0.7,53.2,Seward County,NE,", "
NE-161,"Sheridan County, NE",49.6,96,2,47.6,Sheridan County,NE,", "
NE-163,"Sherman County, NE",52.8,93,1.6,51.2,Sherman County,NE,", "
NE-165,"Sioux County, NE",48.1,82,1.3,46.8,Sioux County,NE,", "
NE-167,"Stanton County, NE",51.7,69,0.3,51.4,Stanton County,NE,", "
NE-169,"Thayer County, NE",54.3,69,0.3,54,Thayer County,NE,", "
NE-171,"Thomas County, NE",52.4,97,2.1,50.3,Thomas County,NE,", "
NE-173,"Thurston County, NE",51.2,59,-0.1,51.3,Thurston County,NE,", "
NE-175,"Valley County, NE",51.8,82,1.2,50.6,Valley County,NE,", "
NE-177,"Washington County, NE",53,64,0.2,52.8,Washington County,NE,", "
NE-179,"Wayne County, NE",51.2,71,0.4,50.8,Wayne County,NE,", "
NE-181,"Webster County, NE",54.6,81,1,53.6,Webster County,NE,", "
NE-183,"Wheeler County, NE",51.7,83,1.1,50.6,Wheeler County,NE,", "
NE-185,"York County, NE",54.7,88,1.5,53.2,York County,NE,", "
NV-001,"Churchill County, NV",54.5,111,3.2,51.3,Churchill County,NV,", "
NV-003,"Clark County, NV",67.8,108,3.4,64.4,Clark County,NV,", "
NV-005,"Douglas County, NV",53.8,119,4.4,49.4,Douglas County,NV,", "
NV-007,"Elko County, NV",49,116,3.3,45.7,Elko County,NV,", "
NV-009,"Esmeralda County, NV",56,113,3.8,52.2,Esmeralda County,NV,", "
NV-011,"Eureka County, NV",49.6,109,3,46.6,Eureka County,NV,", "
NV-013,"Humboldt County, NV",54,123,4.6,49.4,Humboldt County,NV,", "
NV-015,"Lander County, NV",51.3,106,2.9,48.4,Lander County,NV,", "
NV-017,"Lincoln County, NV",58.5,108,3.3,55.2,Lincoln County,NV,", "
NV-019,"Lyon County, NV",55.1,119,4.2,50.9,Lyon County,NV,", "
NV-021,"Mineral County, NV",54.4,118,4.4,50,Mineral County,NV,", "
NV-023,"Nye County, NV",55.5,112,3.7,51.8,Nye County,NV,", "
NV-027,"Pershing County, NV",54.2,114,3.2,51,Pershing County,NV,", "
NV-029,"Storey County, NV",55.9,123,5,50.9,Storey County,NV,", "
NV-031,"Washoe County, NV",54.5,122,4.9,49.6,Washoe County,NV,", "
NV-033,"White Pine County, NV",49.1,108,2.9,46.2,White Pine County,NV,", "
NV-510,"Carson City, NV",55.5,124,5.3,50.2,Carson City,NV,", "
NH-001,"Belknap County, NH",50,109,2.9,47.1,Belknap County,NH,", "
NH-003,"Carroll County, NH",49,113,3.3,45.7,Carroll County,NH,", "
NH-005,"Cheshire County, NH",48.7,91,1.7,47,Cheshire County,NH,", "
NH-007,"Coos County, NH",46.4,115,3.8,42.6,Coos County,NH,", "
NH-009,"Grafton County, NH",47.8,113,3.3,44.5,Grafton County,NH,", "
NH-011,"Hillsborough County, NH",50.3,102,2.2,48.1,Hillsborough County,NH,", "
NH-013,"Merrimack County, NH",49.8,107,2.7,47.1,Merrimack County,NH,", "
NH-015,"Rockingham County, NH",51.5,104,2.3,49.2,Rockingham County,NH,", "
NH-017,"Strafford County, NH",50.5,104,2.4,48.1,Strafford County,NH,", "
NH-019,"Sullivan County, NH",48.4,105,2.6,45.8,Sullivan County,NH,", "
NJ-001,"Atlantic County, NJ",56.1,73,0.9,55.2,Atlantic County,NJ,", "
NJ-003,"Bergen County, NJ",54,68,0.4,53.6,Bergen County,NJ,", "
NJ-005,"Burlington County, NJ",54.9,53,-0.3,55.2,Burlington County,NJ,", "
NJ-007,"Camden County, NJ",55.2,52,-0.4,55.6,Camden County,NJ,", "
NJ-009,"Cape May County, NJ",57,72,0.9,56.1,Cape May County,NJ,", "
NJ-011,"Cumberland County, NJ",55.9,63,0.4,55.5,Cumberland County,NJ,", "
NJ-013,"Essex County, NJ",53.8,60,0,53.8,Essex County,NJ,", "
NJ-015,"Gloucester County, NJ",55.6,56,-0.2,55.8,Gloucester County,NJ,", "
NJ-017,"Hudson County, NJ",55.9,67,0.2,55.7,Hudson County,NJ,", "
NJ-019,"Hunterdon County, NJ",52.2,59,0.1,52.1,Hunterdon County,NJ,", "
NJ-021,"Mercer County, NJ",53.6,52,-0.5,54.1,Mercer County,NJ,", "
NJ-023,"Middlesex County, NJ",54.3,58,-0.1,54.4,Middlesex County,NJ,", "
NJ-025,"Monmouth County, NJ",54.7,58,0,54.7,Monmouth County,NJ,", "
NJ-027,"Morris County, NJ",51.5,57,-0.1,51.6,Morris County,NJ,", "
NJ-029,"Ocean County, NJ",55,58,0,55,Ocean County,NJ,", "
NJ-031,"Passaic County, NJ",52,61,0.1,51.9,Passaic County,NJ,", "
NJ-033,"Salem County, NJ",55.7,55,-0.3,56,Salem County,NJ,", "
NJ-035,"Somerset County, NJ",53.1,59,0,53.1,Somerset County,NJ,", "
NJ-037,"Sussex County, NJ",50.4,59,0.1,50.3,Sussex County,NJ,", "
NJ-039,"Union County, NJ",54.3,60,-0.1,54.4,Union County,NJ,", "
NJ-041,"Warren County, NJ",51.1,58,0.3,50.8,Warren County,NJ,", "
NM-001,"Bernalillo County, NM",52.9,51,-0.1,53,Bernalillo County,NM,", "
NM-003,"Catron County, NM",48,32,-1.2,49.2,Catron County,NM,", "
NM-005,"Chaves County, NM",59.9,89,1.2,58.7,Chaves County,NM,", "
NM-006,"Cibola County, NM",48.7,31,-1.1,49.8,Cibola County,NM,", "
NM-007,"Colfax County, NM",48,57,-0.3,48.3,Colfax County,NM,", "
NM-009,"Curry County, NM",57.6,89,1.1,56.5,Curry County,NM,", "
NM-011,"De Baca County, NM",59.2,102,1.9,57.3,De Baca County,NM,", "
NM-013,"Dona Ana County, NM",61,54,-0.1,61.1,Dona Ana County,NM,", "
NM-015,"Eddy County, NM",61.9,77,0.8,61.1,Eddy County,NM,", "
NM-017,"Grant County, NM",55.2,30,-1,56.2,Grant County,NM,", "
NM-019,"Guadalupe County, NM",55.9,79,0.8,55.1,Guadalupe County,NM,", "
NM-021,"Harding County, NM",55.2,80,0.7,54.5,Harding County,NM,", "
NM-023,"Hidalgo County, NM",58.3,20,-1.8,60.1,Hidalgo County,NM,", "
NM-025,"Lea County, NM",61,79,0.8,60.2,Lea County,NM,", "
NM-027,"Lincoln County, NM",54.6,59,0.2,54.4,Lincoln County,NM,", "
NM-028,"Los Alamos County, NM",47.5,54,-0.4,47.9,Los Alamos County,NM,", "
NM-029,"Luna County, NM",59.4,24,-1.5,60.9,Luna County,NM,", "
NM-031,"McKinley County, NM",49.9,59,0,49.9,McKinley County,NM,", "
NM-033,"Mora County, NM",48.7,68,0.4,48.3,Mora County,NM,", "
NM-035,"Otero County, NM",57.3,43,-0.3,57.6,Otero County,NM,", "
NM-037,"Quay County, NM",58,79,0.5,57.5,Quay County,NM,", "
NM-039,"Rio Arriba County, NM",46.8,73,0.2,46.6,Rio Arriba County,NM,", "
NM-041,"Roosevelt County, NM",58.6,92,1.3,57.3,Roosevelt County,NM,", "
NM-043,"Sandoval County, NM",50,50,-0.5,50.5,Sandoval County,NM,", "
NM-045,"San Juan County, NM",52.4,74,0.5,51.9,San Juan County,NM,", "
NM-047,"San Miguel County, NM",53.3,63,0.2,53.1,San Miguel County,NM,", "
NM-049,"Santa Fe County, NM",49.3,50,-0.5,49.8,Santa Fe County,NM,", "
NM-051,"Sierra County, NM",56.3,23,-1.3,57.6,Sierra County,NM,", "
NM-053,"Socorro County, NM",53.6,49,-0.4,54,Socorro County,NM,", "
NM-055,"Taos County, NM",44.4,69,0.2,44.2,Taos County,NM,", "
NM-057,"Torrance County, NM",50.8,60,0.1,50.7,Torrance County,NM,", "
NM-059,"Union County, NM",53.3,72,0.4,52.9,Union County,NM,", "
NM-061,"Valencia County, NM",54.7,57,0,54.7,Valencia County,NM,", "
NY-001,"Albany County, NY",50.6,77,1,49.6,Albany County,NY,", "
NY-003,"Allegany County, NY",47.9,54,-0.1,48,Allegany County,NY,", "
NY-005,"Bronx County, NY",56.6,72,0.7,55.9,Bronx County,NY,", "
NY-007,"Broome County, NY",48.7,60,0,48.7,Broome County,NY,", "
NY-009,"Cattaraugus County, NY",47.4,47,-0.7,48.1,Cattaraugus County,NY,", "
NY-011,"Cayuga County, NY",50.2,70,0.5,49.7,Cayuga County,NY,", "
NY-013,"Chautauqua County, NY",48.9,48,-0.6,49.5,Chautauqua County,NY,", "
NY-015,"Chemung County, NY",48.7,53,-0.1,48.8,Chemung County,NY,", "
NY-017,"Chenango County, NY",48,63,0.4,47.6,Chenango County,NY,", "
NY-019,"Clinton County, NY",48.5,105,2.7,45.8,Clinton County,NY,", "
NY-021,"Columbia County, NY",51.3,80,1.4,49.9,Columbia County,NY,", "
NY-023,"Cortland County, NY",47.8,64,0.4,47.4,Cortland County,NY,", "
NY-025,"Delaware County, NY",47.1,64,0.1,47,Delaware County,NY,", "
NY-027,"Dutchess County, NY",52.5,90,1.9,50.6,Dutchess County,NY,", "
NY-029,"Erie County, NY",50.5,67,0.6,49.9,Erie County,NY,", "
NY-031,"Essex County, NY",45,77,0.7,44.3,Essex County,NY,", "
NY-033,"Franklin County, NY",46.4,91,2,44.4,Franklin County,NY,", "
NY-035,"Fulton County, NY",48.3,76,1,47.3,Fulton County,NY,", "
NY-037,"Genesee County, NY",50.1,65,0.5,49.6,Genesee County,NY,", "
NY-039,"Greene County, NY",48.9,72,0.8,48.1,Greene County,NY,", "
NY-041,"Hamilton County, NY",44.6,80,1,43.6,Hamilton County,NY,", "
NY-043,"Herkimer County, NY",46.7,83,1.1,45.6,Herkimer County,NY,", "
NY-045,"Jefferson County, NY",50,102,2.3,47.7,Jefferson County,NY,", "
NY-047,"Kings County, NY",56.7,68,0.4,56.3,Kings County,NY,", "
NY-049,"Lewis County, NY",47.5,93,2.1,45.4,Lewis County,NY,", "
NY-051,"Livingston County, NY",50,62,0.4,49.6,Livingston County,NY,", "
NY-053,"Madison County, NY",48.7,75,1,47.7,Madison County,NY,", "
NY-055,"Monroe County, NY",50.7,61,0.3,50.4,Monroe County,NY,", "
NY-057,"Montgomery County, NY",49.8,71,0.6,49.2,Montgomery County,NY,", "
NY-059,"Nassau County, NY",56.3,76,1,55.3,Nassau County,NY,", "
NY-061,"New York County, NY",56.5,69,0.4,56.1,New York County,NY,", "
NY-063,"Niagara County, NY",51.2,70,0.6,50.6,Niagara County,NY,", "
NY-065,"Oneida County, NY",49.1,85,1.4,47.7,Oneida County,NY,", "
NY-067,"Onondaga County, NY",50.4,78,1.1,49.3,Onondaga County,NY,", "
NY-069,"Ontario County, NY",50.3,70,0.6,49.7,Ontario County,NY,", "
NY-071,"Orange County, NY",52,79,1.2,50.8,Orange County,NY,", "
NY-073,"Orleans County, NY",50.8,65,0.5,50.3,Orleans County,NY,", "
NY-075,"Oswego County, NY",50.5,90,1.7,48.8,Oswego County,NY,", "
NY-077,"Otsego County, NY",47.2,59,-0.1,47.3,Otsego County,NY,", "
NY-079,"Putnam County, NY",53.2,92,1.9,51.3,Putnam County,NY,", "
NY-081,"Queens County, NY",56.6,71,0.6,56,Queens County,NY,", "
NY-083,"Rensselaer County, NY",51,95,2.1,48.9,Rensselaer County,NY,", "
NY-085,"Richmond County, NY",56,65,0.1,55.9,Richmond County,NY,", "
NY-087,"Rockland County, NY",53.5,76,1,52.5,Rockland County,NY,", "
NY-089,"St. Lawrence County, NY",48.5,100,2.5,46,St. Lawrence County,NY,", "
NY-091,"Saratoga County, NY",50,92,1.8,48.2,Saratoga County,NY,", "
NY-093,"Schenectady County, NY",50.7,88,1.4,49.3,Schenectady County,NY,", "
NY-095,"Schoharie County, NY",48,68,0.2,47.8,Schoharie County,NY,", "
NY-097,"Schuyler County, NY",49,56,0.1,48.9,Schuyler County,NY,", "
NY-099,"Seneca County, NY",50.8,66,0.4,50.4,Seneca County,NY,", "
NY-101,"Steuben County, NY",48.3,56,0,48.3,Steuben County,NY,", "
NY-103,"Suffolk County, NY",55.3,85,1.4,53.9,Suffolk County,NY,", "
NY-105,"Sullivan County, NY",49.1,74,0.8,48.3,Sullivan County,NY,", "
NY-107,"Tioga County, NY",48.3,51,-0.4,48.7,Tioga County,NY,", "
NY-109,"Tompkins County, NY",48.8,55,0,48.8,Tompkins County,NY,", "
NY-111,"Ulster County, NY",50.6,81,1.4,49.2,Ulster County,NY,", "
NY-113,"Warren County, NY",47.1,83,1.2,45.9,Warren County,NY,", "
NY-115,"Washington County, NY",49.5,88,1.6,47.9,Washington County,NY,", "
NY-117,"Wayne County, NY",51.1,72,0.7,50.4,Wayne County,NY,", "
NY-119,"Westchester County, NY",54.3,83,1.3,53,Westchester County,NY,", "
NY-121,"Wyoming County, NY",48.8,62,0.6,48.2,Wyoming County,NY,", "
NY-123,"Yates County, NY",49.9,63,0.3,49.6,Yates County,NY,", "
NC-001,"Alamance County, NC",56.4,22,-2.4,58.8,Alamance County,NC,", "
NC-003,"Alexander County, NC",56.1,26,-2,58.1,Alexander County,NC,", "
NC-005,"Alleghany County, NC",50.3,30,-1.8,52.1,Alleghany County,NC,", "
NC-007,"Anson County, NC",59.8,33,-1.8,61.6,Anson County,NC,", "
NC-009,"Ashe County, NC",48.3,20,-2.7,51,Ashe County,NC,", "
NC-011,"Avery County, NC",48.1,18,-2.5,50.6,Avery County,NC,", "
NC-013,"Beaufort County, NC",60.7,29,-1.8,62.5,Beaufort County,NC,", "
NC-015,"Bertie County, NC",59.4,36,-1.2,60.6,Bertie County,NC,", "
NC-017,"Bladen County, NC",61.4,41,-1.2,62.6,Bladen County,NC,", "
NC-019,"Brunswick County, NC",62.4,35,-1.6,64,Brunswick County,NC,", "
NC-021,"Buncombe County, NC",51.6,19,-2.5,54.1,Buncombe County,NC,", "
NC-023,"Burke County, NC",55.5,22,-2.2,57.7,Burke County,NC,", "
NC-025,"Cabarrus County, NC",58.1,29,-2,60.1,Cabarrus County,NC,", "
NC-027,"Caldwell County, NC",55,24,-2.2,57.2,Caldwell County,NC,", "
NC-029,"Camden County, NC",59.9,33,-1.2,61.1,Camden County,NC,", "
NC-031,"Carteret County, NC",62.8,27,-1.9,64.7,Carteret County,NC,", "
NC-033,"Caswell County, NC",55.8,22,-2.6,58.4,Caswell County,NC,", "
NC-035,"Catawba County, NC",56.7,24,-2.2,58.9,Catawba County,NC,", "
NC-037,"Chatham County, NC",57.7,24,-2.2,59.9,Chatham County,NC,", "
NC-039,"Cherokee County, NC",53.9,19,-2.7,56.6,Cherokee County,NC,", "
NC-041,"Chowan County, NC",60.2,37,-1,61.2,Chowan County,NC,", "
NC-043,"Clay County, NC",52.1,16,-3,55.1,Clay County,NC,", "
NC-045,"Cleveland County, NC",56.9,23,-2.4,59.3,Cleveland County,NC,", "
NC-047,"Columbus County, NC",61.8,38,-1.3,63.1,Columbus County,NC,", "
NC-049,"Craven County, NC",61,31,-1.8,62.8,Craven County,NC,", "
NC-051,"Cumberland County, NC",60.9,45,-1.1,62,Cumberland County,NC,", "
NC-053,"Currituck County, NC",60.6,32,-1.3,61.9,Currituck County,NC,", "
NC-055,"Dare County, NC",62,21,-2,64,Dare County,NC,", "
NC-057,"Davidson County, NC",56.8,28,-2.1,58.9,Davidson County,NC,", "
NC-059,"Davie County, NC",56.2,28,-2.1,58.3,Davie County,NC,", "
NC-061,"Duplin County, NC",60.3,32,-1.7,62,Duplin County,NC,", "
NC-063,"Durham County, NC",57.4,32,-1.7,59.1,Durham County,NC,", "
NC-065,"Edgecombe County, NC",58.7,27,-1.9,60.6,Edgecombe County,NC,", "
NC-067,"Forsyth County, NC",56,28,-2,58,Forsyth County,NC,", "
NC-069,"Franklin County, NC",57.7,36,-1.4,59.1,Franklin County,NC,", "
NC-071,"Gaston County, NC",57.9,29,-1.8,59.7,Gaston County,NC,", "
NC-073,"Gates County, NC",59,35,-1.3,60.3,Gates County,NC,", "
NC-075,"Graham County, NC",51.9,16,-2.9,54.8,Graham County,NC,", "
NC-077,"Granville County, NC",56.8,33,-1.5,58.3,Granville County,NC,", "
NC-079,"Greene County, NC",59.4,22,-2.1,61.5,Greene County,NC,", "
NC-081,"Guilford County, NC",56.2,25,-2.2,58.4,Guilford County,NC,", "
NC-083,"Halifax County, NC",57.9,33,-1.7,59.6,Halifax County,NC,", "
NC-085,"Harnett County, NC",59.5,36,-1.6,61.1,Harnett County,NC,", "
NC-087,"Haywood County, NC",48.5,16,-2.9,51.4,Haywood County,NC,", "
NC-089,"Henderson County, NC",53.8,29,-1.8,55.6,Henderson County,NC,", "
NC-091,"Hertford County, NC",59,42,-1.1,60.1,Hertford County,NC,", "
NC-093,"Hoke County, NC",60.4,44,-1.1,61.5,Hoke County,NC,", "
NC-095,"Hyde County, NC",61.5,21,-2.3,63.8,Hyde County,NC,", "
NC-097,"Iredell County, NC",56.3,26,-2.2,58.5,Iredell County,NC,", "
NC-099,"Jackson County, NC",49.9,15,-2.8,52.7,Jackson County,NC,", "
NC-101,"Johnston County, NC",59.3,32,-1.7,61,Johnston County,NC,", "
NC-103,"Jones County, NC",60.4,29,-1.8,62.2,Jones County,NC,", "
NC-105,"Lee County, NC",58.6,30,-1.8,60.4,Lee County,NC,", "
NC-107,"Lenoir County, NC",59.4,20,-2.4,61.8,Lenoir County,NC,", "
NC-109,"Lincoln County, NC",57.2,27,-1.9,59.1,Lincoln County,NC,", "
NC-111,"McDowell County, NC",54.5,22,-2.3,56.8,McDowell County,NC,", "
NC-113,"Macon County, NC",50.5,9,-3.4,53.9,Macon County,NC,", "
NC-115,"Madison County, NC",51.9,15,-3,54.9,Madison County,NC,", "
NC-117,"Martin County, NC",59.6,36,-1.4,61,Martin County,NC,", "
NC-119,"Mecklenburg County, NC",58.4,30,-1.7,60.1,Mecklenburg County,NC,", "
NC-121,"Mitchell County, NC",49.2,16,-2.7,51.9,Mitchell County,NC,", "
NC-123,"Montgomery County, NC",58.8,27,-1.9,60.7,Montgomery County,NC,", "
NC-125,"Moore County, NC",59.1,35,-1.6,60.7,Moore County,NC,", "
NC-127,"Nash County, NC",58.1,32,-1.6,59.7,Nash County,NC,", "
NC-129,"New Hanover County, NC",62.4,35,-1.7,64.1,New Hanover County,NC,", "
NC-131,"Northampton County, NC",58.1,36,-1.5,59.6,Northampton County,NC,", "
NC-133,"Onslow County, NC",61.4,34,-1.6,63,Onslow County,NC,", "
NC-135,"Orange County, NC",56.5,25,-2.2,58.7,Orange County,NC,", "
NC-137,"Pamlico County, NC",61.7,25,-2.1,63.8,Pamlico County,NC,", "
