a,a,a,a,a,a,a,a,a,a,a,a,a
a,"Guadalupe County, New Mexico",0.8266,New Mexico,NM,Guadalupe County,35,19,pctunmetneed,2014,0.8266,", ",82.66
a,"Harding County, New Mexico",0.8685,New Mexico,NM,Harding County,35,21,pctunmetneed,2014,0.8685,", ",86.85
a,"Hidalgo County, New Mexico",0.8385,New Mexico,NM,Hidalgo County,35,23,pctunmetneed,2014,0.8385,", ",83.85
a,"Lea County, New Mexico",0.8685,New Mexico,NM,Lea County,35,25,pctunmetneed,2014,0.8685,", ",86.85
a,"Lincoln County, New Mexico",0.8385,New Mexico,NM,Lincoln County,35,27,pctunmetneed,2014,0.8385,", ",83.85
a,"Los Alamos County, New Mexico",0.8266,New Mexico,NM,Los Alamos County,35,28,pctunmetneed,2014,0.8266,", ",82.66
a,"Luna County, New Mexico",0.8385,New Mexico,NM,Luna County,35,29,pctunmetneed,2014,0.8385,", ",83.85
a,"McKinley County, New Mexico",0.8706,New Mexico,NM,McKinley County,35,31,pctunmetneed,2014,0.8706,", ",87.06
a,"Mora County, New Mexico",0.8266,New Mexico,NM,Mora County,35,33,pctunmetneed,2014,0.8266,", ",82.66
a,"Otero County, New Mexico",0.8385,New Mexico,NM,Otero County,35,35,pctunmetneed,2014,0.8385,", ",83.85
a,"Quay County, New Mexico",0.8685,New Mexico,NM,Quay County,35,37,pctunmetneed,2014,0.8685,", ",86.85
a,"Rio Arriba County, New Mexico",0.8266,New Mexico,NM,Rio Arriba County,35,39,pctunmetneed,2014,0.8266,", ",82.66
a,"Roosevelt County, New Mexico",0.8685,New Mexico,NM,Roosevelt County,35,41,pctunmetneed,2014,0.8685,", ",86.85
a,"Sandoval County, New Mexico",0.8706,New Mexico,NM,Sandoval County,35,43,pctunmetneed,2014,0.8706,", ",87.06
a,"San Juan County, New Mexico",0.8706,New Mexico,NM,San Juan County,35,45,pctunmetneed,2014,0.8706,", ",87.06
a,"San Miguel County, New Mexico",0.8266,New Mexico,NM,San Miguel County,35,47,pctunmetneed,2014,0.8266,", ",82.66
a,"Santa Fe County, New Mexico",0.8266,New Mexico,NM,Santa Fe County,35,49,pctunmetneed,2014,0.8266,", ",82.66
a,"Sierra County, New Mexico",0.8385,New Mexico,NM,Sierra County,35,51,pctunmetneed,2014,0.8385,", ",83.85
a,"Socorro County, New Mexico",0.8385,New Mexico,NM,Socorro County,35,53,pctunmetneed,2014,0.8385,", ",83.85
a,"Taos County, New Mexico",0.8266,New Mexico,NM,Taos County,35,55,pctunmetneed,2014,0.8266,", ",82.66
a,"Torrance County, New Mexico",0.8385,New Mexico,NM,Torrance County,35,57,pctunmetneed,2014,0.8385,", ",83.85
a,"Union County, New Mexico",0.8266,New Mexico,NM,Union County,35,59,pctunmetneed,2014,0.8266,", ",82.66
a,"Valencia County, New Mexico",0.8706,New Mexico,NM,Valencia County,35,61,pctunmetneed,2014,0.8706,", ",87.06
a,"Albany County, New York",0.8399,New York,NY,Albany County,36,1,pctunmetneed,2014,0.8399,", ",83.99
a,"Allegany County, New York",0.835,New York,NY,Allegany County,36,3,pctunmetneed,2014,0.835,", ",83.5
a,"Bronx County, New York",0.9023,New York,NY,Bronx County,36,5,pctunmetneed,2014,0.9023,", ",90.23
a,"Broome County, New York",0.8885,New York,NY,Broome County,36,7,pctunmetneed,2014,0.8885,", ",88.85
a,"Cattaraugus County, New York",0.835,New York,NY,Cattaraugus County,36,9,pctunmetneed,2014,0.835,", ",83.5
a,"Cayuga County, New York",0.841,New York,NY,Cayuga County,36,11,pctunmetneed,2014,0.841,", ",84.1
a,"Chautauqua County, New York",0.835,New York,NY,Chautauqua County,36,13,pctunmetneed,2014,0.835,", ",83.5
a,"Chemung County, New York",0.8885,New York,NY,Chemung County,36,15,pctunmetneed,2014,0.8885,", ",88.85
a,"Chenango County, New York",0.841,New York,NY,Chenango County,36,17,pctunmetneed,2014,0.841,", ",84.1
a,"Clinton County, New York",0.8704,New York,NY,Clinton County,36,19,pctunmetneed,2014,0.8704,", ",87.04
a,"Columbia County, New York",0.841,New York,NY,Columbia County,36,21,pctunmetneed,2014,0.841,", ",84.1
a,"Cortland County, New York",0.841,New York,NY,Cortland County,36,23,pctunmetneed,2014,0.841,", ",84.1
a,"Delaware County, New York",0.841,New York,NY,Delaware County,36,25,pctunmetneed,2014,0.841,", ",84.1
a,"Dutchess County, New York",0.8664,New York,NY,Dutchess County,36,27,pctunmetneed,2014,0.8664,", ",86.64
a,"Erie County, New York",0.8452,New York,NY,Erie County,36,29,pctunmetneed,2014,0.8452,", ",84.52
a,"Essex County, New York",0.8704,New York,NY,Essex County,36,31,pctunmetneed,2014,0.8704,", ",87.04
a,"Franklin County, New York",0.8704,New York,NY,Franklin County,36,33,pctunmetneed,2014,0.8704,", ",87.04
a,"Fulton County, New York",0.8704,New York,NY,Fulton County,36,35,pctunmetneed,2014,0.8704,", ",87.04
a,"Genesee County, New York",0.835,New York,NY,Genesee County,36,37,pctunmetneed,2014,0.835,", ",83.5
a,"Greene County, New York",0.841,New York,NY,Greene County,36,39,pctunmetneed,2014,0.841,", ",84.1
a,"Hamilton County, New York",0.8704,New York,NY,Hamilton County,36,41,pctunmetneed,2014,0.8704,", ",87.04
a,"Herkimer County, New York",0.8345,New York,NY,Herkimer County,36,43,pctunmetneed,2014,0.8345,", ",83.45
a,"Jefferson County, New York",0.8704,New York,NY,Jefferson County,36,45,pctunmetneed,2014,0.8704,", ",87.04
a,"Kings County, New York",0.9331,New York,NY,Kings County,36,47,pctunmetneed,2014,0.9331,", ",93.31
a,"Lewis County, New York",0.8704,New York,NY,Lewis County,36,49,pctunmetneed,2014,0.8704,", ",87.04
a,"Livingston County, New York",0.849,New York,NY,Livingston County,36,51,pctunmetneed,2014,0.849,", ",84.9
a,"Madison County, New York",0.8345,New York,NY,Madison County,36,53,pctunmetneed,2014,0.8345,", ",83.45
a,"Monroe County, New York",0.849,New York,NY,Monroe County,36,55,pctunmetneed,2014,0.849,", ",84.9
a,"Montgomery County, New York",0.8704,New York,NY,Montgomery County,36,57,pctunmetneed,2014,0.8704,", ",87.04
a,"Nassau County, New York",0.8769,New York,NY,Nassau County,36,59,pctunmetneed,2014,0.8769,", ",87.69
a,"New York County, New York",0.9538,New York,NY,New York County,36,61,pctunmetneed,2014,0.9538,", ",95.38
a,"Niagara County, New York",0.8452,New York,NY,Niagara County,36,63,pctunmetneed,2014,0.8452,", ",84.52
a,"Oneida County, New York",0.8345,New York,NY,Oneida County,36,65,pctunmetneed,2014,0.8345,", ",83.45
a,"Onondaga County, New York",0.8345,New York,NY,Onondaga County,36,67,pctunmetneed,2014,0.8345,", ",83.45
a,"Ontario County, New York",0.849,New York,NY,Ontario County,36,69,pctunmetneed,2014,0.849,", ",84.9
a,"Orange County, New York",0.8664,New York,NY,Orange County,36,71,pctunmetneed,2014,0.8664,", ",86.64
a,"Orleans County, New York",0.849,New York,NY,Orleans County,36,73,pctunmetneed,2014,0.849,", ",84.9
a,"Oswego County, New York",0.8345,New York,NY,Oswego County,36,75,pctunmetneed,2014,0.8345,", ",83.45
a,"Otsego County, New York",0.841,New York,NY,Otsego County,36,77,pctunmetneed,2014,0.841,", ",84.1
a,"Putnam County, New York",0.8788,New York,NY,Putnam County,36,79,pctunmetneed,2014,0.8788,", ",87.88
a,"Queens County, New York",0.9798,New York,NY,Queens County,36,81,pctunmetneed,2014,0.9798,", ",97.98
a,"Rensselaer County, New York",0.8399,New York,NY,Rensselaer County,36,83,pctunmetneed,2014,0.8399,", ",83.99
a,"Richmond County, New York",0.9331,New York,NY,Richmond County,36,85,pctunmetneed,2014,0.9331,", ",93.31
a,"Rockland County, New York",0.8788,New York,NY,Rockland County,36,87,pctunmetneed,2014,0.8788,", ",87.88
a,"St. Lawrence County, New York",0.8704,New York,NY,St. Lawrence County,36,89,pctunmetneed,2014,0.8704,", ",87.04
a,"Saratoga County, New York",0.8399,New York,NY,Saratoga County,36,91,pctunmetneed,2014,0.8399,", ",83.99
a,"Schenectady County, New York",0.8399,New York,NY,Schenectady County,36,93,pctunmetneed,2014,0.8399,", ",83.99
a,"Schoharie County, New York",0.8399,New York,NY,Schoharie County,36,95,pctunmetneed,2014,0.8399,", ",83.99
a,"Schuyler County, New York",0.835,New York,NY,Schuyler County,36,97,pctunmetneed,2014,0.835,", ",83.5
a,"Seneca County, New York",0.835,New York,NY,Seneca County,36,99,pctunmetneed,2014,0.835,", ",83.5
a,"Steuben County, New York",0.835,New York,NY,Steuben County,36,101,pctunmetneed,2014,0.835,", ",83.5
a,"Suffolk County, New York",0.8769,New York,NY,Suffolk County,36,103,pctunmetneed,2014,0.8769,", ",87.69
a,"Sullivan County, New York",0.841,New York,NY,Sullivan County,36,105,pctunmetneed,2014,0.841,", ",84.1
a,"Tioga County, New York",0.8885,New York,NY,Tioga County,36,107,pctunmetneed,2014,0.8885,", ",88.85
a,"Tompkins County, New York",0.8885,New York,NY,Tompkins County,36,109,pctunmetneed,2014,0.8885,", ",88.85
a,"Ulster County, New York",0.8664,New York,NY,Ulster County,36,111,pctunmetneed,2014,0.8664,", ",86.64
a,"Warren County, New York",0.8399,New York,NY,Warren County,36,113,pctunmetneed,2014,0.8399,", ",83.99
a,"Washington County, New York",0.8399,New York,NY,Washington County,36,115,pctunmetneed,2014,0.8399,", ",83.99
a,"Wayne County, New York",0.849,New York,NY,Wayne County,36,117,pctunmetneed,2014,0.849,", ",84.9
a,"Westchester County, New York",0.8788,New York,NY,Westchester County,36,119,pctunmetneed,2014,0.8788,", ",87.88
a,"Wyoming County, New York",0.835,New York,NY,Wyoming County,36,121,pctunmetneed,2014,0.835,", ",83.5
a,"Yates County, New York",0.835,New York,NY,Yates County,36,123,pctunmetneed,2014,0.835,", ",83.5
a,"Alamance County, North Carolina",0.9233,North Carolina,NC,Alamance County,37,1,pctunmetneed,2014,0.9233,", ",92.33
a,"Alexander County, North Carolina",0.9053,North Carolina,NC,Alexander County,37,3,pctunmetneed,2014,0.9053,", ",90.53
a,"Alleghany County, North Carolina",0.9053,North Carolina,NC,Alleghany County,37,5,pctunmetneed,2014,0.9053,", ",90.53
a,"Anson County, North Carolina",0.882,North Carolina,NC,Anson County,37,7,pctunmetneed,2014,0.882,", ",88.2
a,"Ashe County, North Carolina",0.9053,North Carolina,NC,Ashe County,37,9,pctunmetneed,2014,0.9053,", ",90.53
a,"Avery County, North Carolina",0.9053,North Carolina,NC,Avery County,37,11,pctunmetneed,2014,0.9053,", ",90.53
a,"Beaufort County, North Carolina",0.9083,North Carolina,NC,Beaufort County,37,13,pctunmetneed,2014,0.9083,", ",90.83
a,"Bertie County, North Carolina",0.9083,North Carolina,NC,Bertie County,37,15,pctunmetneed,2014,0.9083,", ",90.83
a,"Bladen County, North Carolina",0.9026,North Carolina,NC,Bladen County,37,17,pctunmetneed,2014,0.9026,", ",90.26
a,"Brunswick County, North Carolina",0.9083,North Carolina,NC,Brunswick County,37,19,pctunmetneed,2014,0.9083,", ",90.83
a,"Buncombe County, North Carolina",0.8544,North Carolina,NC,Buncombe County,37,21,pctunmetneed,2014,0.8544,", ",85.44
a,"Burke County, North Carolina",0.8665,North Carolina,NC,Burke County,37,23,pctunmetneed,2014,0.8665,", ",86.65
a,"Cabarrus County, North Carolina",0.8678,North Carolina,NC,Cabarrus County,37,25,pctunmetneed,2014,0.8678,", ",86.78
a,"Caldwell County, North Carolina",0.9053,North Carolina,NC,Caldwell County,37,27,pctunmetneed,2014,0.9053,", ",90.53
a,"Camden County, North Carolina",0.9083,North Carolina,NC,Camden County,37,29,pctunmetneed,2014,0.9083,", ",90.83
a,"Carteret County, North Carolina",0.9083,North Carolina,NC,Carteret County,37,31,pctunmetneed,2014,0.9083,", ",90.83
a,"Caswell County, North Carolina",0.9233,North Carolina,NC,Caswell County,37,33,pctunmetneed,2014,0.9233,", ",92.33
a,"Catawba County, North Carolina",0.8665,North Carolina,NC,Catawba County,37,35,pctunmetneed,2014,0.8665,", ",86.65
a,"Chatham County, North Carolina",0.9233,North Carolina,NC,Chatham County,37,37,pctunmetneed,2014,0.9233,", ",92.33
a,"Cherokee County, North Carolina",0.9053,North Carolina,NC,Cherokee County,37,39,pctunmetneed,2014,0.9053,", ",90.53
a,"Chowan County, North Carolina",0.9083,North Carolina,NC,Chowan County,37,41,pctunmetneed,2014,0.9083,", ",90.83
a,"Clay County, North Carolina",0.9053,North Carolina,NC,Clay County,37,43,pctunmetneed,2014,0.9053,", ",90.53
a,"Cleveland County, North Carolina",0.8665,North Carolina,NC,Cleveland County,37,45,pctunmetneed,2014,0.8665,", ",86.65
a,"Columbus County, North Carolina",0.9026,North Carolina,NC,Columbus County,37,47,pctunmetneed,2014,0.9026,", ",90.26
a,"Craven County, North Carolina",0.9083,North Carolina,NC,Craven County,37,49,pctunmetneed,2014,0.9083,", ",90.83
a,"Cumberland County, North Carolina",0.8619,North Carolina,NC,Cumberland County,37,51,pctunmetneed,2014,0.8619,", ",86.19
a,"Currituck County, North Carolina",0.9083,North Carolina,NC,Currituck County,37,53,pctunmetneed,2014,0.9083,", ",90.83
a,"Dare County, North Carolina",0.9083,North Carolina,NC,Dare County,37,55,pctunmetneed,2014,0.9083,", ",90.83
a,"Davidson County, North Carolina",0.8678,North Carolina,NC,Davidson County,37,57,pctunmetneed,2014,0.8678,", ",86.78
a,"Davie County, North Carolina",0.9049,North Carolina,NC,Davie County,37,59,pctunmetneed,2014,0.9049,", ",90.49
a,"Duplin County, North Carolina",0.9026,North Carolina,NC,Duplin County,37,61,pctunmetneed,2014,0.9026,", ",90.26
a,"Durham County, North Carolina",0.8619,North Carolina,NC,Durham County,37,63,pctunmetneed,2014,0.8619,", ",86.19
a,"Edgecombe County, North Carolina",0.9026,North Carolina,NC,Edgecombe County,37,65,pctunmetneed,2014,0.9026,", ",90.26
a,"Forsyth County, North Carolina",0.9049,North Carolina,NC,Forsyth County,37,67,pctunmetneed,2014,0.9049,", ",90.49
a,"Franklin County, North Carolina",0.9233,North Carolina,NC,Franklin County,37,69,pctunmetneed,2014,0.9233,", ",92.33
a,"Gaston County, North Carolina",0.8665,North Carolina,NC,Gaston County,37,71,pctunmetneed,2014,0.8665,", ",86.65
a,"Gates County, North Carolina",0.9083,North Carolina,NC,Gates County,37,73,pctunmetneed,2014,0.9083,", ",90.83
a,"Graham County, North Carolina",0.9053,North Carolina,NC,Graham County,37,75,pctunmetneed,2014,0.9053,", ",90.53
a,"Granville County, North Carolina",0.9233,North Carolina,NC,Granville County,37,77,pctunmetneed,2014,0.9233,", ",92.33
a,"Greene County, North Carolina",0.9026,North Carolina,NC,Greene County,37,79,pctunmetneed,2014,0.9026,", ",90.26
a,"Guilford County, North Carolina",0.8938,North Carolina,NC,Guilford County,37,81,pctunmetneed,2014,0.8938,", ",89.38
a,"Halifax County, North Carolina",0.9233,North Carolina,NC,Halifax County,37,83,pctunmetneed,2014,0.9233,", ",92.33
a,"Harnett County, North Carolina",0.882,North Carolina,NC,Harnett County,37,85,pctunmetneed,2014,0.882,", ",88.2
a,"Haywood County, North Carolina",0.9053,North Carolina,NC,Haywood County,37,87,pctunmetneed,2014,0.9053,", ",90.53
a,"Henderson County, North Carolina",0.8544,North Carolina,NC,Henderson County,37,89,pctunmetneed,2014,0.8544,", ",85.44
a,"Hertford County, North Carolina",0.9083,North Carolina,NC,Hertford County,37,91,pctunmetneed,2014,0.9083,", ",90.83
a,"Hoke County, North Carolina",0.882,North Carolina,NC,Hoke County,37,93,pctunmetneed,2014,0.882,", ",88.2
a,"Hyde County, North Carolina",0.9083,North Carolina,NC,Hyde County,37,95,pctunmetneed,2014,0.9083,", ",90.83
a,"Iredell County, North Carolina",0.8665,North Carolina,NC,Iredell County,37,97,pctunmetneed,2014,0.8665,", ",86.65
a,"Jackson County, North Carolina",0.9053,North Carolina,NC,Jackson County,37,99,pctunmetneed,2014,0.9053,", ",90.53
a,"Johnston County, North Carolina",0.8619,North Carolina,NC,Johnston County,37,101,pctunmetneed,2014,0.8619,", ",86.19
a,"Jones County, North Carolina",0.9083,North Carolina,NC,Jones County,37,103,pctunmetneed,2014,0.9083,", ",90.83
a,"Lee County, North Carolina",0.882,North Carolina,NC,Lee County,37,105,pctunmetneed,2014,0.882,", ",88.2
a,"Lenoir County, North Carolina",0.9026,North Carolina,NC,Lenoir County,37,107,pctunmetneed,2014,0.9026,", ",90.26
a,"Lincoln County, North Carolina",0.8665,North Carolina,NC,Lincoln County,37,109,pctunmetneed,2014,0.8665,", ",86.65
a,"McDowell County, North Carolina",0.9053,North Carolina,NC,McDowell County,37,111,pctunmetneed,2014,0.9053,", ",90.53
a,"Macon County, North Carolina",0.9053,North Carolina,NC,Macon County,37,113,pctunmetneed,2014,0.9053,", ",90.53
a,"Madison County, North Carolina",0.8544,North Carolina,NC,Madison County,37,115,pctunmetneed,2014,0.8544,", ",85.44
a,"Martin County, North Carolina",0.9083,North Carolina,NC,Martin County,37,117,pctunmetneed,2014,0.9083,", ",90.83
a,"Mecklenburg County, North Carolina",0.8868,North Carolina,NC,Mecklenburg County,37,119,pctunmetneed,2014,0.8868,", ",88.68
a,"Mitchell County, North Carolina",0.8544,North Carolina,NC,Mitchell County,37,121,pctunmetneed,2014,0.8544,", ",85.44
a,"Montgomery County, North Carolina",0.882,North Carolina,NC,Montgomery County,37,123,pctunmetneed,2014,0.882,", ",88.2
a,"Moore County, North Carolina",0.882,North Carolina,NC,Moore County,37,125,pctunmetneed,2014,0.882,", ",88.2
a,"Nash County, North Carolina",0.9026,North Carolina,NC,Nash County,37,127,pctunmetneed,2014,0.9026,", ",90.26
a,"New Hanover County, North Carolina",0.9083,North Carolina,NC,New Hanover County,37,129,pctunmetneed,2014,0.9083,", ",90.83
a,"Northampton County, North Carolina",0.9083,North Carolina,NC,Northampton County,37,131,pctunmetneed,2014,0.9083,", ",90.83
a,"Onslow County, North Carolina",0.9083,North Carolina,NC,Onslow County,37,133,pctunmetneed,2014,0.9083,", ",90.83
a,"Orange County, North Carolina",0.9233,North Carolina,NC,Orange County,37,135,pctunmetneed,2014,0.9233,", ",92.33
a,"Pamlico County, North Carolina",0.9083,North Carolina,NC,Pamlico County,37,137,pctunmetneed,2014,0.9083,", ",90.83
a,"Pasquotank County, North Carolina",0.9083,North Carolina,NC,Pasquotank County,37,139,pctunmetneed,2014,0.9083,", ",90.83
a,"Pender County, North Carolina",0.9083,North Carolina,NC,Pender County,37,141,pctunmetneed,2014,0.9083,", ",90.83
a,"Perquimans County, North Carolina",0.9083,North Carolina,NC,Perquimans County,37,143,pctunmetneed,2014,0.9083,", ",90.83
a,"Person County, North Carolina",0.9233,North Carolina,NC,Person County,37,145,pctunmetneed,2014,0.9233,", ",92.33
a,"Pitt County, North Carolina",0.9083,North Carolina,NC,Pitt County,37,147,pctunmetneed,2014,0.9083,", ",90.83
a,"Polk County, North Carolina",0.8544,North Carolina,NC,Polk County,37,149,pctunmetneed,2014,0.8544,", ",85.44
a,"Randolph County, North Carolina",0.882,North Carolina,NC,Randolph County,37,151,pctunmetneed,2014,0.882,", ",88.2
a,"Richmond County, North Carolina",0.882,North Carolina,NC,Richmond County,37,153,pctunmetneed,2014,0.882,", ",88.2
a,"Robeson County, North Carolina",0.9026,North Carolina,NC,Robeson County,37,155,pctunmetneed,2014,0.9026,", ",90.26
a,"Rockingham County, North Carolina",0.9049,North Carolina,NC,Rockingham County,37,157,pctunmetneed,2014,0.9049,", ",90.49
a,"Rowan County, North Carolina",0.8678,North Carolina,NC,Rowan County,37,159,pctunmetneed,2014,0.8678,", ",86.78
a,"Rutherford County, North Carolina",0.8544,North Carolina,NC,Rutherford County,37,161,pctunmetneed,2014,0.8544,", ",85.44
a,"Sampson County, North Carolina",0.9026,North Carolina,NC,Sampson County,37,163,pctunmetneed,2014,0.9026,", ",90.26
a,"Scotland County, North Carolina",0.9026,North Carolina,NC,Scotland County,37,165,pctunmetneed,2014,0.9026,", ",90.26
a,"Stanly County, North Carolina",0.8678,North Carolina,NC,Stanly County,37,167,pctunmetneed,2014,0.8678,", ",86.78
a,"Stokes County, North Carolina",0.9049,North Carolina,NC,Stokes County,37,169,pctunmetneed,2014,0.9049,", ",90.49
a,"Surry County, North Carolina",0.8665,North Carolina,NC,Surry County,37,171,pctunmetneed,2014,0.8665,", ",86.65
a,"Swain County, North Carolina",0.9053,North Carolina,NC,Swain County,37,173,pctunmetneed,2014,0.9053,", ",90.53
a,"Transylvania County, North Carolina",0.8544,North Carolina,NC,Transylvania County,37,175,pctunmetneed,2014,0.8544,", ",85.44
a,"Tyrrell County, North Carolina",0.9083,North Carolina,NC,Tyrrell County,37,177,pctunmetneed,2014,0.9083,", ",90.83
a,"Union County, North Carolina",0.8678,North Carolina,NC,Union County,37,179,pctunmetneed,2014,0.8678,", ",86.78
a,"Vance County, North Carolina",0.9233,North Carolina,NC,Vance County,37,181,pctunmetneed,2014,0.9233,", ",92.33
a,"Wake County, North Carolina",0.8982,North Carolina,NC,Wake County,37,183,pctunmetneed,2014,0.8982,", ",89.82
a,"Warren County, North Carolina",0.9233,North Carolina,NC,Warren County,37,185,pctunmetneed,2014,0.9233,", ",92.33
a,"Washington County, North Carolina",0.9083,North Carolina,NC,Washington County,37,187,pctunmetneed,2014,0.9083,", ",90.83
a,"Watauga County, North Carolina",0.9053,North Carolina,NC,Watauga County,37,189,pctunmetneed,2014,0.9053,", ",90.53
a,"Wayne County, North Carolina",0.9026,North Carolina,NC,Wayne County,37,191,pctunmetneed,2014,0.9026,", ",90.26
a,"Wilkes County, North Carolina",0.9053,North Carolina,NC,Wilkes County,37,193,pctunmetneed,2014,0.9053,", ",90.53
a,"Wilson County, North Carolina",0.9026,North Carolina,NC,Wilson County,37,195,pctunmetneed,2014,0.9026,", ",90.26
a,"Yadkin County, North Carolina",0.8665,North Carolina,NC,Yadkin County,37,197,pctunmetneed,2014,0.8665,", ",86.65
a,"Yancey County, North Carolina",0.8544,North Carolina,NC,Yancey County,37,199,pctunmetneed,2014,0.8544,", ",85.44
a,"Adams County, North Dakota",0.8491,North Dakota,ND,Adams County,38,1,pctunmetneed,2014,0.8491,", ",84.91
a,"Barnes County, North Dakota",0.8472,North Dakota,ND,Barnes County,38,3,pctunmetneed,2014,0.8472,", ",84.72
a,"Benson County, North Dakota",0.838,North Dakota,ND,Benson County,38,5,pctunmetneed,2014,0.838,", ",83.8
a,"Billings County, North Dakota",0.8491,North Dakota,ND,Billings County,38,7,pctunmetneed,2014,0.8491,", ",84.91
a,"Bottineau County, North Dakota",0.8765,North Dakota,ND,Bottineau County,38,9,pctunmetneed,2014,0.8765,", ",87.65
a,"Bowman County, North Dakota",0.8491,North Dakota,ND,Bowman County,38,11,pctunmetneed,2014,0.8491,", ",84.91
a,"Burke County, North Dakota",0.8765,North Dakota,ND,Burke County,38,13,pctunmetneed,2014,0.8765,", ",87.65
a,"Burleigh County, North Dakota",0.8491,North Dakota,ND,Burleigh County,38,15,pctunmetneed,2014,0.8491,", ",84.91
a,"Cass County, North Dakota",0.8871,North Dakota,ND,Cass County,38,17,pctunmetneed,2014,0.8871,", ",88.71
a,"Cavalier County, North Dakota",0.838,North Dakota,ND,Cavalier County,38,19,pctunmetneed,2014,0.838,", ",83.8
a,"Dickey County, North Dakota",0.8472,North Dakota,ND,Dickey County,38,21,pctunmetneed,2014,0.8472,", ",84.72
a,"Divide County, North Dakota",0.8178,North Dakota,ND,Divide County,38,23,pctunmetneed,2014,0.8178,", ",81.78
a,"Dunn County, North Dakota",0.8491,North Dakota,ND,Dunn County,38,25,pctunmetneed,2014,0.8491,", ",84.91
a,"Eddy County, North Dakota",0.838,North Dakota,ND,Eddy County,38,27,pctunmetneed,2014,0.838,", ",83.8
a,"Emmons County, North Dakota",0.8491,North Dakota,ND,Emmons County,38,29,pctunmetneed,2014,0.8491,", ",84.91
a,"Foster County, North Dakota",0.8472,North Dakota,ND,Foster County,38,31,pctunmetneed,2014,0.8472,", ",84.72
a,"Golden Valley County, North Dakota",0.8491,North Dakota,ND,Golden Valley County,38,33,pctunmetneed,2014,0.8491,", ",84.91
a,"Grand Forks County, North Dakota",0.8454,North Dakota,ND,Grand Forks County,38,35,pctunmetneed,2014,0.8454,", ",84.54
a,"Grant County, North Dakota",0.8491,North Dakota,ND,Grant County,38,37,pctunmetneed,2014,0.8491,", ",84.91
a,"Griggs County, North Dakota",0.8472,North Dakota,ND,Griggs County,38,39,pctunmetneed,2014,0.8472,", ",84.72
a,"Hettinger County, North Dakota",0.8491,North Dakota,ND,Hettinger County,38,41,pctunmetneed,2014,0.8491,", ",84.91
a,"Kidder County, North Dakota",0.8491,North Dakota,ND,Kidder County,38,43,pctunmetneed,2014,0.8491,", ",84.91
a,"LaMoure County, North Dakota",0.8472,North Dakota,ND,LaMoure County,38,45,pctunmetneed,2014,0.8472,", ",84.72
a,"Logan County, North Dakota",0.8472,North Dakota,ND,Logan County,38,47,pctunmetneed,2014,0.8472,", ",84.72
a,"McHenry County, North Dakota",0.8765,North Dakota,ND,McHenry County,38,49,pctunmetneed,2014,0.8765,", ",87.65
a,"McIntosh County, North Dakota",0.8472,North Dakota,ND,McIntosh County,38,51,pctunmetneed,2014,0.8472,", ",84.72
a,"McKenzie County, North Dakota",0.8178,North Dakota,ND,McKenzie County,38,53,pctunmetneed,2014,0.8178,", ",81.78
a,"McLean County, North Dakota",0.8491,North Dakota,ND,McLean County,38,55,pctunmetneed,2014,0.8491,", ",84.91
a,"Mercer County, North Dakota",0.8491,North Dakota,ND,Mercer County,38,57,pctunmetneed,2014,0.8491,", ",84.91
a,"Morton County, North Dakota",0.8491,North Dakota,ND,Morton County,38,59,pctunmetneed,2014,0.8491,", ",84.91
a,"Mountrail County, North Dakota",0.8765,North Dakota,ND,Mountrail County,38,61,pctunmetneed,2014,0.8765,", ",87.65
a,"Nelson County, North Dakota",0.8454,North Dakota,ND,Nelson County,38,63,pctunmetneed,2014,0.8454,", ",84.54
a,"Oliver County, North Dakota",0.8491,North Dakota,ND,Oliver County,38,65,pctunmetneed,2014,0.8491,", ",84.91
a,"Pembina County, North Dakota",0.8454,North Dakota,ND,Pembina County,38,67,pctunmetneed,2014,0.8454,", ",84.54
a,"Pierce County, North Dakota",0.8765,North Dakota,ND,Pierce County,38,69,pctunmetneed,2014,0.8765,", ",87.65
a,"Ramsey County, North Dakota",0.838,North Dakota,ND,Ramsey County,38,71,pctunmetneed,2014,0.838,", ",83.8
a,"Ransom County, North Dakota",0.8871,North Dakota,ND,Ransom County,38,73,pctunmetneed,2014,0.8871,", ",88.71
a,"Renville County, North Dakota",0.8765,North Dakota,ND,Renville County,38,75,pctunmetneed,2014,0.8765,", ",87.65
a,"Richland County, North Dakota",0.8871,North Dakota,ND,Richland County,38,77,pctunmetneed,2014,0.8871,", ",88.71
a,"Rolette County, North Dakota",0.838,North Dakota,ND,Rolette County,38,79,pctunmetneed,2014,0.838,", ",83.8
a,"Sargent County, North Dakota",0.8871,North Dakota,ND,Sargent County,38,81,pctunmetneed,2014,0.8871,", ",88.71
a,"Sheridan County, North Dakota",0.8491,North Dakota,ND,Sheridan County,38,83,pctunmetneed,2014,0.8491,", ",84.91
a,"Sioux County, North Dakota",0.8491,North Dakota,ND,Sioux County,38,85,pctunmetneed,2014,0.8491,", ",84.91
a,"Slope County, North Dakota",0.8491,North Dakota,ND,Slope County,38,87,pctunmetneed,2014,0.8491,", ",84.91
a,"Stark County, North Dakota",0.8491,North Dakota,ND,Stark County,38,89,pctunmetneed,2014,0.8491,", ",84.91
a,"Steele County, North Dakota",0.8871,North Dakota,ND,Steele County,38,91,pctunmetneed,2014,0.8871,", ",88.71
a,"Stutsman County, North Dakota",0.8472,North Dakota,ND,Stutsman County,38,93,pctunmetneed,2014,0.8472,", ",84.72
